Attack Type,Model,FNR (%),Rec,Prec,F1,Support
Normal,GCN,2.16,0.9784,0.9808,0.9796,13957
Normal,GraphSAGE,1.93,0.9807,0.9896,0.9851,13957
Normal,R-GCN,1.07,0.9893,0.9898,0.9895,13957
Normal,GIN,0.92,0.9908,0.9928,0.9918,13957
Normal,GATv2,0.75,0.9925,0.9916,0.9921,13957
Normal,Edge-GATv2,0.84,0.9916,0.9981,0.9949,13957
Normal,Graph-Transformer,0.42,0.9958,0.9979,0.9969,13957
Combined,GCN,0.4,0.996,0.984,0.99,4457
Combined,GraphSAGE,0.29,0.9971,0.964,0.9803,4457
Combined,R-GCN,0.56,0.9944,0.9924,0.9934,4457
Combined,GIN,0.47,0.9953,0.9942,0.9947,4457
Combined,GATv2,0.49,0.9951,0.9924,0.9937,4457
Combined,Edge-GATv2,0.25,0.9975,0.9911,0.9943,4457
Combined,Graph-Transformer,0.31,0.9969,0.9937,0.9953,4457
DoS,GCN,0.15,0.9985,1.0,0.9992,667
DoS,GraphSAGE,0.15,0.9985,1.0,0.9992,667
DoS,R-GCN,0.15,0.9985,1.0,0.9992,667
DoS,GIN,0.15,0.9985,1.0,0.9992,667
DoS,GATv2,0.15,0.9985,1.0,0.9992,667
DoS,Edge-GATv2,0.0,1.0,1.0,1.0,667
DoS,Graph-Transformer,0.0,1.0,1.0,1.0,667
Fuzzy,GCN,0.23,0.9977,0.9851,0.9914,864
Fuzzy,GraphSAGE,0.35,0.9965,0.9931,0.9948,864
Fuzzy,R-GCN,0.23,0.9977,0.9965,0.9971,864
Fuzzy,GIN,0.58,0.9942,0.9988,0.9965,864
Fuzzy,GATv2,0.23,0.9977,0.9977,0.9977,864
Fuzzy,Edge-GATv2,0.0,1.0,0.9988,0.9994,864
Fuzzy,Graph-Transformer,0.12,0.9988,0.9988,0.9988,864
Gear,GCN,0.43,0.9957,0.8228,0.901,704
Gear,GraphSAGE,1.14,0.9886,0.96,0.9741,704
Gear,R-GCN,1.85,0.9815,0.9531,0.9671,704
Gear,GIN,0.43,0.9957,0.9447,0.9696,704
Gear,GATv2,0.28,0.9972,0.9461,0.971,704
Gear,Edge-GATv2,0.0,1.0,0.9657,0.9826,704
Gear,Graph-Transformer,0.0,1.0,0.9986,0.9993,704
Interval,GCN,0.02,0.9998,0.9998,0.9998,6363
Interval,GraphSAGE,0.0,1.0,0.9983,0.9991,6363
Interval,R-GCN,0.03,0.9997,0.9989,0.9993,6363
Interval,GIN,0.0,1.0,1.0,1.0,6363
Interval,GATv2,0.0,1.0,0.9995,0.9998,6363
Interval,Edge-GATv2,0.0,1.0,0.9997,0.9998,6363
Interval,Graph-Transformer,0.0,1.0,0.9992,0.9996,6363
RPM,GCN,16.57,0.8343,0.9884,0.9049,1328
RPM,GraphSAGE,6.55,0.9345,0.9733,0.9535,1328
RPM,R-GCN,4.89,0.9511,0.9546,0.9528,1328
RPM,GIN,3.77,0.9623,0.9682,0.9653,1328
RPM,GATv2,4.22,0.9578,0.9899,0.9736,1328
RPM,Edge-GATv2,0.38,0.9962,0.9932,0.9947,1328
RPM,Graph-Transformer,0.23,0.9977,0.9992,0.9985,1328
Speed,GCN,0.5,0.995,0.9583,0.9763,1594
Speed,GraphSAGE,1.44,0.9856,0.9776,0.9816,1594
Speed,R-GCN,1.0,0.99,0.99,0.99,1594
Speed,GIN,0.82,0.9918,0.9887,0.9903,1594
Speed,GATv2,1.19,0.9881,0.9937,0.9909,1594
Speed,Edge-GATv2,0.44,0.9956,0.9808,0.9882,1594
Speed,Graph-Transformer,0.31,0.9969,0.9876,0.9922,1594
Standstill,GCN,0.65,0.9935,1.0,0.9967,617
Standstill,GraphSAGE,0.65,0.9935,1.0,0.9967,617
Standstill,R-GCN,1.13,0.9887,1.0,0.9943,617
Standstill,GIN,0.65,0.9935,1.0,0.9967,617
Standstill,GATv2,0.32,0.9968,0.9968,0.9968,617
Standstill,Edge-GATv2,0.16,0.9984,1.0,0.9992,617
Standstill,Graph-Transformer,0.0,1.0,1.0,1.0,617
Systematic,GCN,3.04,0.9696,0.999,0.9841,987
Systematic,GraphSAGE,1.93,0.9807,0.999,0.9898,987
Systematic,R-GCN,1.62,0.9838,0.999,0.9913,987
Systematic,GIN,0.81,0.9919,0.9939,0.9929,987
Systematic,GATv2,1.42,0.9858,0.999,0.9924,987
Systematic,Edge-GATv2,0.2,0.998,0.9909,0.9944,987
Systematic,Graph-Transformer,0.61,0.9939,0.998,0.9959,987
